0,1,2,3,4,5,6,7,8,9,10,11,12
8.0,3.7979194071404208,27.0,4.360289898619127,27.0,4.750307807548785,8.0,5.181811211808688,8.0,5.23744817632025,3.0,5.672774347492133,12.799999999999999
8.0,2.233139002259834,8.0,2.955095526072224,8.0,3.336821519283289,3.0,3.7212468026883796,27.0,4.255375253398902,8.0,4.455913975175754,1.2890000000000001
8.0,0.8135946157987918,3.0,1.6909942843430579,27.0,2.4522246720778544,8.0,2.651604344176992,8.0,3.3479976312284143,8.0,3.5210818639175474,1.191
3.0,1.5655630587454292,8.0,1.601352556345654,3.0,1.7599081336430307,27.0,3.2674627513163412,27.0,3.371247477026158,8.0,3.500273014956008,1.156
3.0,1.5882842852319503,3.0,2.608894106783799,8.0,2.7163874780978827,8.0,2.9749044550062247,27.0,3.0033604818373036,8.0,3.062266519614653,1.21
3.0,1.3029087159379134,8.0,1.6390541226530384,27.0,1.8621042617073595,8.0,1.863481417885818,3.0,2.129636929131792,8.0,2.4428119056873574,1.3119999999999998
8.0,2.0281664191823126,27.0,3.807409006279757,8.0,3.995362316252462,3.0,4.199406124746909,3.0,4.466383993722351,3.0,4.790000917421293,1.1250000000000002
8.0,2.1708380940152856,27.0,2.741089317116473,27.0,2.7589697314723765,3.0,3.3000101179493457,8.0,3.4322020084200475,8.0,3.776073425509556,1.0539999999999998
3.0,1.1694009066212423,27.0,2.291855268779515,8.0,2.5271731417109486,3.0,3.148410511343921,8.0,3.2309165266988287,8.0,3.5386816179750444,1.23
3.0,0.5728834479118252,8.0,2.448083372619615,8.0,2.6268212679110663,8.0,2.766733994538369,3.0,3.0155493301271528,27.0,3.0933132897878135,1.27
3.0,3.4442470730197545,3.0,4.162366336313227,27.0,5.9535205621395715,3.0,7.096127652644548,8.0,7.2811167295306385,27.0,8.785369697600041,1.2289999999999999
27.0,3.8418792974603972,8.0,4.1415488556627045,8.0,4.594344850533038,3.0,6.148610530502231,3.0,6.726631212599533,8.0,6.833140638509655,1.3030000000000002
3.0,1.6877238556803213,8.0,3.2480221944886023,27.0,3.420549316270353,8.0,3.5553243026378443,8.0,4.1530471926437595,8.0,4.306715498561465,1.2420000000000002
8.0,1.2927687455430892,27.0,2.169738698966255,3.0,2.3717743294474785,27.0,2.8120325562873782,8.0,2.848068032463021,3.0,3.2247802579282596,1.2859999999999998
8.0,0.8209826907559382,27.0,2.206761639924115,8.0,2.420462241303999,27.0,2.6576964309186923,8.0,3.2144482070408897,3.0,3.404302051366349,1.261
3.0,1.0529537201099337,8.0,2.2369871110235815,27.0,2.3663984140000536,8.0,2.6436992644125996,27.0,4.059306380551402,3.0,4.234525717929526,1.3860000000000001
8.0,2.097053737495024,3.0,2.2858867232025855,8.0,2.531643538534579,27.0,2.9377243552231707,3.0,3.7133682073403023,8.0,4.223011609191253,1.249
3.0,7.725570784434892,3.0,9.253273997615482,8.0,9.435948871517882,8.0,9.565918253270109,27.0,10.547160493362416,8.0,10.75676742258305,1.313
8.0,2.7486512314792586,8.0,2.7604900000900097,3.0,3.2628678241649562,27.0,3.6900119836558174,8.0,5.008586444789058,8.0,5.0526179349505576,1.311
3.0,1.4455792623717554,8.0,1.7755696561000107,3.0,1.7999366088228967,8.0,1.8718970219779667,27.0,2.078892049990006,8.0,3.2813719854115253,1.295
3.0,3.451118940913208,8.0,4.102600534599167,8.0,4.902557799284085,3.0,5.159266360814676,27.0,5.224670763513357,8.0,5.595253294012601,1.278
3.0,9.96819796279432,8.0,10.116104865475272,8.0,10.238870923777432,27.0,10.578476963955213,27.0,11.563601239660128,8.0,11.647354061031859,1.168
27.0,5.434496491770384,8.0,6.153425623897141,27.0,6.247174283541948,8.0,6.441790399753202,8.0,6.861673814455318,8.0,7.006799926843363,1.263
8.0,2.441426313882951,3.0,3.33092224938145,8.0,6.479321457632077,27.0,10.131927417189296,8.0,13.865601444224975,3.0,17.426124746196543,10.866
27.0,0.7913230512734256,8.0,1.2252901213547662,8.0,1.6451350142791095,27.0,2.1300890669162342,8.0,2.3366131460906034,8.0,2.6024715042019233,13.790000000000001
8.0,1.2999726401075962,8.0,1.61457379884953,27.0,2.2640801459895235,8.0,2.5146698594071104,27.0,2.578291487253048,3.0,3.179173506105313,13.879000000000001
8.0,4.696048460693112,27.0,4.784259457949607,8.0,5.335078677849366,27.0,5.424407962652844,3.0,5.777567169869222,8.0,6.258864953249919,1.112
3.0,3.421566784303333,3.0,3.5482423441974826,27.0,3.9543772197227143,8.0,4.198648184695574,8.0,4.617122425179372,8.0,4.970422560175018,12.790000000000001
27.0,3.077349738820716,8.0,3.557108531440429,8.0,3.8272007509602224,8.0,4.537193682637326,8.0,5.1628600533051445,27.0,5.661815365921669,14.087
3.0,2.0270614739939883,8.0,2.126346308473991,3.0,2.2036295790232177,3.0,2.6401430768410017,27.0,2.6730185914271445,8.0,2.845540344296703,0.3620000000000001
8.0,2.069581441968844,3.0,2.425222391797585,8.0,3.136838266120985,27.0,3.2631228977294,3.0,3.8947823790317018,8.0,4.292388812075151,0.2430000000000001
3.0,0.905991257503472,8.0,1.7082375186211514,8.0,1.8561910718899124,8.0,1.8624168347037855,3.0,1.9785049645521313,3.0,2.062512657133754,0.369
3.0,0.9607791284877595,8.0,1.8494370430663396,8.0,1.905686766040844,8.0,1.9386581750601208,3.0,2.1047419005739765,3.0,2.4741586840111416,0.242
25.0,1.5482438739488769,8.0,1.662670273975742,8.0,2.285323033087641,25.0,3.1589659462922803,3.0,3.5951187129014164,8.0,3.7981915689317503,14.524000000000001
25.0,1.318866166481065,8.0,1.4687903371314528,8.0,2.8465011951159904,8.0,3.06710975118919,8.0,3.173027546245802,25.0,3.180522788925994,1.44
3.0,1.2052233347362757,8.0,2.0882263556462544,8.0,2.4308648590874276,3.0,2.6703267814591496,8.0,3.247275990703748,3.0,3.310771426296321,1.379
3.0,1.384563598557501,8.0,2.230461383354372,8.0,2.979990221083573,8.0,3.032488220550499,25.0,3.341292125963614,8.0,3.505457719902662,1.412
3.0,2.100872786341551,25.0,2.8338486662928335,8.0,3.3239053522615865,3.0,3.5438152224163604,8.0,3.773967297400931,8.0,3.8553465640299343,1.471
25.0,1.4772957715422335,8.0,1.866986120946034,3.0,2.2363280051819103,8.0,3.0518067199913768,25.0,3.4949413935379456,8.0,3.5180093976031017,1.3310000000000002
8.0,0.7773278307796486,3.0,2.1175194224775726,25.0,2.250003488736372,8.0,2.8172798800692673,8.0,3.081448327336918,8.0,3.7187588393596047,1.719
3.0,2.6765229708606024,8.0,3.750678712079281,3.0,4.091481072900153,8.0,4.447756316578335,3.0,4.7202249629874435,8.0,4.738394446779825,1.508
25.0,1.4675496451679313,8.0,1.499315690866935,8.0,1.9597464429998714,25.0,2.6313507728311576,3.0,3.6175677683825356,25.0,3.7676403791962754,1.354
8.0,1.7160762863225065,8.0,2.1742690408138126,3.0,2.3218488463585105,25.0,2.77997112891561,8.0,3.2235691603251535,8.0,3.454122462918729,1.5090000000000003
8.0,3.2529769598420035,8.0,3.4509902280785165,8.0,3.9901737514065525,3.0,4.2021871696957085,3.0,4.694785946176212,8.0,4.876705385613975,1.67
3.0,0.4377159111747927,8.0,1.9562890985836623,8.0,2.046851499292795,8.0,2.4939400836358585,3.0,2.76871372028578,3.0,2.77561965244969,1.383
25.0,1.2540557490278192,8.0,1.9063726039994462,8.0,2.075511477195856,3.0,2.4449942328916925,25.0,3.1592300268925086,8.0,3.517114333687003,1.597
3.0,1.356728236457075,8.0,1.364945017946128,25.0,2.755277777881404,8.0,3.042141119212844,8.0,3.229761160442212,3.0,3.419231671904566,1.568
3.0,1.595464209410882,3.0,1.633813724140084,25.0,2.1227341458050564,25.0,3.5653836080272376,3.0,3.5823047226762164,3.0,4.373873107010981,1.5
8.0,2.26358866942928,8.0,3.136158947724014,3.0,3.5695422311239238,8.0,3.6095331030172884,25.0,3.9462792509104023,8.0,4.689159697663389,1.388
25.0,2.752593470277506,8.0,2.9390847111760876,8.0,3.0842427230510854,8.0,3.1947335401242283,3.0,3.2555792944900386,25.0,4.020609159264948,0.43500000000000005
27.0,0.8406418691798934,8.0,2.4480038624697267,3.0,2.658884474132146,27.0,3.690311934523473,8.0,3.876057985548988,3.0,4.43436426421007,9.357
3.0,0.8158717515378484,3.0,1.272769383988874,8.0,1.7646344293112424,8.0,1.7666344094258755,8.0,1.8199632455949466,3.0,2.2147013503606026,0.5650000000000004
27.0,1.0996514977069214,8.0,1.5362563509921137,8.0,2.505120773101385,27.0,3.5502154263582244,8.0,4.532229857452904,3.0,4.676531095891648,2.8299999999999996
27.0,0.8121053094642878,8.0,1.431572885327503,8.0,1.6004731731686677,27.0,2.1680972601490285,8.0,2.274937978470632,8.0,2.4303090306808124,12.427
3.0,3.9656970178021207,8.0,4.149198629261206,3.0,4.98122857695054,3.0,5.158011833283925,8.0,5.264582645702453,27.0,5.872305284493697,0.16100000000000003
