Materials Id,Formula
mp-770099,Li4MnO3
mp-25539,LiMnO2
mp-770514,Li5MnO4
mp-764823,Li5Mn6O16
mp-763571,Li2Mn5O12
mp-762417,Li5Mn5O12
mp-762418,Li2Mn3O6
mp-770104,LiMn4O8
mp-763699,LiMn5O10
mp-763695,Li2Mn5O10
mp-770528,Li5MnO4
mp-769784,Li2Mn2O3
mp-763687,Li6MnO6
mp-34891,Li2Mn15O32
mp-773276,Li2Mn3O6
mp-1174777,Li5Mn3O8
mp-1174722,Li5Mn3O8
mp-763694,Li13Mn2O12
mp-1174546,Li5Mn3O8
mp-1097902,Li3Mn4O8
mp-1174766,Li5Mn3O8
mp-770513,Li8Mn2O7
mp-705574,LiMn16O32
mp-1100528,Li9Mn7O16
mp-698703,Li15Mn21O43
mp-1097905,Li3Mn4O8
mp-1174463,Li4Mn3O7
mp-1080219,Li3Mn4O8
mp-19438,LiMnO4
mp-1175581,Li7Mn5O12
mp-1174041,Li3Mn2O5
mp-1120793,LiMnO3
mp-691164,Li3Mn2O4
mp-33314,Li3Mn2O4
mp-1175490,Li7Mn5O12
mp-1174157,Li3Mn2O5
mp-1174652,Li5Mn3O8
mp-1174553,Li5Mn3O8
mp-1173951,Li2MnO3
mp-1222501,LiMn2O4
mp-1173923,Li2MnO3
mp-691134,Li7Mn10O20
mp-1210922,LiMnO7
mp-1120773,LiMnO
mp-37692,Li3RuO4
mp-4630,Li2RuO3
mp-757535,Li35(RuO4)12
mp-37839,Li7RuO6
mp-757395,Li11(RuO3)8
mp-676252,Li9(RuO3)10
mp-1193147,Li(RuO2)2
mp-28254,LiRuO2
mp-1185420,LiRuO3
mp-675354,Li3(RuO3)2
mp-985583,Li3PS4
mp-1097036,Li3PS4
mp-1001069,Li48P16S61
mp-641703,Li7P3S11
mp-1211324,Li7PS6
mp-38200,Li2PS3
mp-1222635,Li2PS3
mp-29195,LiPO3
mp-554577,Li4P2O7
mp-13725,Li3PO4
mp-28450,Li4P2O7
mp-557189,LiPO3
mp-1202801,LiPO3
mp-2878,Li3PO4
mp-1020027,Li4P2O7
mp-1020029,Li8PO3
mp-1189919,LiPO4
mp-1181255,Li4P4O17
mp-1197558,Li4P4O17
mp-1020666,Li4P2O7
mp-3647,LiGaS2
mp-9172,Li4TiO4
mp-2931,Li2TiO3
mp-5670,LiTi2O4
mp-685194,Li4Ti5O12
mp-766823,Li7Ti11O24
mp-38280,LiTiO2
mp-766393,Li7Ti11O24
mp-768114,Li6Ti9O20
mp-772521,Li8TiO6
mp-774263,Li13Ti28O56
mp-772030,LiTiO2
mp-774528,Li11Ti24O48
mp-530165,Li13Ti22O48
mp-531820,Li4Ti7O16
mp-530141,Li7Ti16O32
mp-779455,Li7Ti5O12
mp-772151,Li2Ti4O9
mp-36864,Li2TiO3
mp-1177528,Li3Ti7O14
mp-759713,Li8Ti15O32
mp-772055,Li6Ti2O7
mp-530600,Li14Ti21O48
mp-1190132,Li2Ti3O7
mp-760017,Li2TiO3
mp-685809,Li5Ti12O24
mp-1190625,Li2Ti6O13
mp-772108,LiTi11O20
mp-685797,Li6Ti9O20
mp-770456,Li6Ti2O7
mp-1176936,Li6Ti2O7
mp-758044,Li5Ti8O16
mp-25417,LiTiO2
mp-1222545,Li3Ti8O16
mp-531914,Li3Ti8O16
mp-756645,Li5Ti3O8
mp-1222656,Li2TiO3
mp-1193296,LiTi2O4
mp-772925,Li4Ti5O12
mp-6944,LiTiO2
mp-756294,Li2Ti2O5
mp-772090,Li4Ti9O20
mp-764648,LiTiO2
mp-1222301,LiTiO2
mp-754937,LiTi3O6
mp-34052,Li7Ti7O16
mp-867613,LiTi4O8
mp-762351,Li4Ti7O16
mp-766543,Li7Ti11O24
mp-977334,LiTi2O4
mp-676365,Li2TiO3
mp-758089,Li2Ti3O6
mp-757527,LiTi6O12
mp-765985,Li5Ti12O24
mp-772049,Li2Ti2O5
mp-766834,Li7Ti16O32
mp-752891,LiTi3O6
mp-766548,Li4Ti11O24
mp-776170,LiTi2O4
mp-1185486,LiTi2O4
mp-760378,LiTi2O4
mp-1192813,LiTi2O4
mp-752879,Li3Ti4O8
mp-761891,Li3Ti4O8
mp-759560,LiTi6O12
mp-1222384,LiTi4O8
mp-756035,LiTi4O8
mp-38468,Li7Ti12O24
mp-760093,LiTi8O16
mp-675692,LiTi2O4
mp-1104112,LiTi2O4
mp-756560,Li2Ti3O7
mp-755000,LiTiO2
mp-772972,Li2Ti2O5
mp-759812,Li4Ti11O24
mp-755266,Li4Ti3O8
mp-753131,Li3Ti4O8
mp-755797,LiTi8O13
mp-772150,Li2Ti13O22
mp-770700,Li2Ti3O7
mp-755615,Li3Ti4O8
mp-777167,LiTiO2
mp-760539,Li2Ti3O6
mp-767633,Li4Ti9O20
mp-1222595,Li3Ti4O8
mp-1045357,LiTi2O4
mp-754801,Li3Ti6O13
mp-756565,Li2Ti7O15
mp-767194,Li4Ti11O24
mp-760594,LiTi2O4
mp-1177252,Li4TiO4
mp-770399,Li6Ti2O7
mp-762319,Li4TiO4
mp-772260,Li10Ti4O13
mp-759678,Li4Ti15O32
mp-772190,Li6Ti2O7
mp-772920,Li8Ti2O7
mp-752942,LiTi2O4
mp-867744,LiTi3O4
mp-677305,Li17Ti20O40
mp-758836,Li4Ti3O8
mp-780233,LiTi2O4
mp-752546,LiTi4O8
mp-760832,LiTi2O4
mp-766828,Li4Ti15O32
mp-558256,Li3Ti4O8
mp-675334,LiTi2O4
mp-19294,LiFeP2O7
mp-31788,Li3Fe2(PO4)3
mp-31789,LiFe(PO3)3
mp-31869,LiFe(PO3)4
mp-19017,LiFePO4
mp-31800,LiFe2P3O10
mp-31833,Li2Fe3(P2O7)2
mp-19570,Li3Fe2(PO4)3
mp-579738,Li9Fe3P8O29
mp-850262,Li2FeP2O7
mp-31888,LiFe2P5O16
mp-762826,Li3Fe2(PO4)3
mp-540112,LiFe(PO3)3
mp-19430,Li3Fe2(PO4)3
mp-762728,Li3Fe2(PO4)3
mp-762641,LiFe(PO3)3
mp-504186,Li3Fe2(PO4)3
mp-585433,LiFePO4
mp-779056,Li2FeP2O7
mp-504189,Li3Fe3(PO4)4
mp-540098,Li2FeP2O7
mp-31890,Li4Fe(PO4)2
mp-31842,Li3Fe3(PO4)4
mp-694615,LiFePO4
mp-585400,LiFePO4
mp-540149,Li2Fe(PO3)4
mp-766777,LiFePO4
mp-540123,LiFePO4
mp-540110,LiFePO4
mp-31885,Li3Fe2P5O16
mp-761484,LiFePO4
mp-1101512,LiFeP2O7
mp-31817,Li2Fe(PO3)4
mp-851285,Li2Fe2(PO4)3
mp-853256,Li3Fe2(PO4)3
mp-761474,LiFePO4
mp-18951,LiFePO4
mp-761469,LiFePO4
mp-705312,LiFePO4
mp-773377,LiFePO4
mp-31785,LiFeP2O7
mp-773399,Li3Fe(PO4)2
mp-1177031,Li7Fe4(P2O7)4
mp-697764,LiFeP2O7
mp-1101516,LiFeP2O7
mp-1176933,Li7Fe4(P2O7)4
mp-31795,LiFe(PO3)4
mp-31808,LiFe(PO3)4
mp-31830,LiFeP2O7
mp-540231,Li2FeP2O7
mp-31850,Li3Fe3(PO4)4
mp-767222,LiFe2(PO4)2
mp-695805,Li2FeP2O7
mp-765699,Li3Fe(PO4)2
mp-632692,LiFe4(PO4)4
mp-761486,LiFePO4
mp-762628,LiFe(PO3)4
mp-1177121,Li7Fe4(PO4)6
mp-540313,LiFe(PO3)3
